tag,script,module
g_assassindrd002,bx_mindrd1,101PER
g_assassindrd003,bx_mindrd1_lt,101PER
g_assassindrd004,bx_mindrd1_du,101PER
g_assassindrd005,bx_mindrd1,101PER
g_floatingmin001,bx_flomin_hk,101PER
n_sithsoldier001,bx_sthass1_pr,101PER
p_hk048,bx_hk50_pr,101PER
g_assassindrd002,bx_mindrd1_sh,102PER
g_assassindrd003,bx_mindrd1_sl,102PER
g_assassindrd004,bx_mindrd1_ds,102PER
g_assassindrd005,bx_exvdrd,102PER
g_assassindrd006,bx_exvdrd_bn,102PER
g_assassindrd007,bx_mindrd1,102PER
g_assassindrd008,bx_mindrd1,102PER
g_assassindrd009,bx_mntdrd_pr,102PER
g_assassindrd010,bx_mindrd1,102PER
g_assassindrd002,bx_mindrd1,103PER
g_assassindrd003,bx_mindrd1_lt,103PER
g_assassindrd004,bx_mindrd1_du,103PER
g_assassindrd005,bx_exvdrd,103PER
g_assassindrd006,bx_exvdrd_bn,103PER
g_assassindrd009,bx_mntdrd_pr,103PER
g_droid_mine_003,bx_mindrd2,103PER
g_droid_mine_004,bx_mindrd2,103PER
g_droid_mine_005,bx_mindrd2,103PER
g_droid_mine_006,bx_mindrd2,103PER
g_floatingmin001,bx_flomin_pr,103PER
g_assassindrd002,bx_mindrd1,105PER
g_assassindrd003,bx_mindrd1_lt,105PER
g_assassindrd004,bx_mindrd1_du,105PER
g_assassindrd005,bx_exvdrd,105PER
g_assassindrd006,bx_exvdrd_bn,105PER
g_assassindrd007,bx_exvdrd_fs,105PER
g_assassindrd009,bx_mntdrd_pr,105PER
g_droid_mine_003,bx_mindrd2,105PER
g_turretbl010,bx_fsturr,105PER
g_assassindrd002,bx_mindrd1,106PER
g_assassindrd003,bx_mindrd1_lt,106PER
g_assassindrd004,bx_mindrd1_du,106PER
g_assassindrd005,bx_mindrd1_lt,106PER
g_assassindrd006,?,106PER
g_assassindrd007,?,106PER
g_droid_mine_024,bx_mindrd2_fr,106PER
g_droid_mine_025,bx_mindrd2_cd,106PER
g_turretbl010,bx_fsturr,106PER
n_sithsoldier001,bx_sthass1_h1,151HAR
n_sithsoldier001,bx_sthass1_h2,152HAR
n_sithsoldier001,bx_sthass1_ps,154HAR
g_201thug,bx_tethug_ss,201TEL
g_201thug001,bx_tethug_ss,201TEL
g_201thug003,bx_tethug_gn,201TEL
g_201thug004,bx_tethug_gn,201TEL
g_201thug2,bx_tethug_gn,201TEL
n_samhan,bx_samhan_gr,201TEL
n_tsfoff002,bx_tsfoff,201TEL
n_repsold006,bx_tsflut,201TEL
Recheck 201TEL,,
203_merc002,bx_czthug_bp,202TEL
203_merc01,bx_czthug_rf,202TEL
g_201thug,bx_masked,202TEL
g_201thug001,bx_tethug_bt,202TEL
n_tsfgf,bx_tsfoff,202TEL
n_tsfgm,bx_tsfoff,202TEL
n_repoff002,bx_tsfoff,202TEL
n_repoff003,bx_tsfoff,202TEL
n_202_rem,bx_batrem,202TEL
Benok in 202??,,
203_batono,bx_batono,203TEL
n_tsfoff001,bx_tsfoff,203TEL
n_tsfoff002,bx_tsfoff,203TEL
